"Date","Open","High","Low","Close"
"16 Jun 2017","10262.7","10326.95","10161.5","10189.00"
"15 Jun 2017","10383.9","10385.1","10262.05","10278.00"
"14 Jun 2017","10370.25","10375.6","10291.5","10366.00"
"13 Jun 2017","10389.3","10458.55","10318.95","10339.00"
"12 Jun 2017","10412.5","10512.25","10314.4","10470.00"
"09 Jun 2017","10484.3","10500.1","10373.1","10442.00"
"08 Jun 2017","10684.8","10696.85","10520.95","10550.00"
"07 Jun 2017","10930.4","10941.15","10533.15","10701.00"
"06 Jun 2017","10749.4","11016.1","10733.65","10907.00"
"05 Jun 2017","10608.85","10677.65","10585.7","10660.00"
"02 Jun 2017","10598.5","10647","10564.1","10608.00"
"01 Jun 2017","10508.7","10625.35","10478.4","10574.00"
"31 May 2017","10589.8","10617.45","10522.65","10549.00"
"30 May 2017","10535.35","10627.25","10496.3","10609.00"
"29 May 2017","10611.45","10633.3","10467.35","10568.00"
"26 May 2017","10741.75","10792.75","10683.75","10735.00"
"25 May 2017","10568.15","10761.05","10546.9","10738.00"
"24 May 2017","10510.95","10536.15","10444.2","10509.00"
"23 May 2017","10535.9","10583.2","10480.75","10510.00"
"22 May 2017","10486.8","10538.65","10454.95","10504.00"
"19 May 2017","10565.75","10574.6","10410.3","10456.00"
"18 May 2017","10382.4","10705.9","10371.7","10545.00"
"17 May 2017","10461","10485.7","10371.55","10437.00"
"16 May 2017","10364.4","10474.45","10356.55","10461.00"
"15 May 2017","10399.7","10400.45","10293.4","10339.00"
"12 May 2017","10275.6","10378.8","10264.4","10367.00"
"11 May 2017","10293.3","10300.5","10216.3","10256.00"
"10 May 2017","10283.35","10296.45","10183.8","10219.00"
"09 May 2017","10246","10294.25","10211.4","10279.00"
"08 May 2017","10113.8","10222.15","10085.6","10209.00"
"05 May 2017","10084.5","10101.95","10031.1","10086.00"
"04 May 2017","10155.05","10170","10055","10106.00"
"03 May 2017","10043","10151.35","9995.25","10131.00"
"02 May 2017","10000.8","10042.85","9960.2","10006.00"
"28 Apr 2017","10020.45","10023.7","9920.7","9943.70"
"27 Apr 2017","9965.05","10045.5","9965.05","10012.00"
"26 Apr 2017","10157.6","10162.65","9944.4","9966.70"
"25 Apr 2017","10081.55","10113","10038.15","10091.00"
"24 Apr 2017","9979.8","10070.95","9938.6","10058.00"
"21 Apr 2017","10083.5","10103.8","9978.5","10008.00"
"20 Apr 2017","9965.8","10056.25","9948.95","10039.00"
"19 Apr 2017","9925.25","10059.45","9901.65","9944.80"
"18 Apr 2017","10021.15","10075.8","9964.65","9981.50"
"17 Apr 2017","10045.4","10056.55","9975.45","10000.00"
"13 Apr 2017","10339.85","10407.15","10034.6","10064.00"
"12 Apr 2017","10408.15","10420.35","10290.5","10323.00"
"11 Apr 2017","10341.55","10422.3","10332.45","10398.00"
"10 Apr 2017","10511.6","10542.7","10304.95","10338.00"
"07 Apr 2017","10532.45","10568.8","10470.55","10485.00"
"06 Apr 2017","10499.75","10545.6","10475.85","10538.00"
"05 Apr 2017","10596.25","10597.2","10493","10510.00"
"03 Apr 2017","10728.65","10732.85","10571.5","10592.00"
"31 Mar 2017","10735.6","10752.35","10634.9","10703.00"
"30 Mar 2017","10734.95","10767.8","10692.9","10730.00"
"29 Mar 2017","10712","10761.05","10661.05","10741.00"
"28 Mar 2017","10675.05","10749.1","10658.55","10681.00"
"27 Mar 2017","10735.5","10787.2","10630.85","10648.00"
"24 Mar 2017","10843.25","10851.45","10753.45","10768.00"
"23 Mar 2017","10794.25","10863.85","10785.7","10850.00"
